Sum of order_count,Column Labels,,,,
Row Labels,Afternoon,Dawn,Morning,Night,Grand Total
2016,0.13%,0.02%,0.08%,0.10%,0.33%
9,0.00%,0.00%,0.00%,0.00%,0.00%
10,0.13%,0.02%,0.08%,0.10%,0.33%
12,0.00%,0.00%,0.00%,0.00%,0.00%
2017,17.42%,2.35%,9.83%,15.75%,45.35%
1,0.34%,0.04%,0.14%,0.28%,0.80%
2,0.70%,0.09%,0.37%,0.63%,1.79%
3,1.00%,0.11%,0.64%,0.94%,2.70%
4,0.94%,0.12%,0.49%,0.87%,2.42%
5,1.44%,0.18%,0.81%,1.30%,3.72%
6,1.29%,0.14%,0.76%,1.08%,3.26%
7,1.55%,0.20%,0.85%,1.45%,4.05%
8,1.71%,0.21%,0.98%,1.46%,4.36%
9,1.66%,0.22%,0.96%,1.47%,4.31%
10,1.81%,0.22%,1.05%,1.58%,4.66%
11,2.84%,0.49%,1.52%,2.73%,7.59%
12,2.17%,0.33%,1.26%,1.95%,5.70%
2018,21.03%,2.40%,12.45%,18.44%,54.31%
1,2.86%,0.37%,1.57%,2.51%,7.31%
2,2.68%,0.31%,1.48%,2.30%,6.77%
3,2.85%,0.29%,1.77%,2.34%,7.25%
4,2.60%,0.30%,1.69%,2.39%,6.98%
5,2.64%,0.30%,1.62%,2.35%,6.91%
6,2.33%,0.27%,1.44%,2.16%,6.20%
7,2.46%,0.25%,1.43%,2.18%,6.33%
8,2.59%,0.30%,1.46%,2.21%,6.55%
9,0.01%,0.00%,0.01%,0.00%,0.02%
10,0.00%,0.00%,0.00%,0.00%,0.00%
Grand Total,38.58%,4.77%,22.37%,34.29%,100.00%
